cafe_id,디저트,다양한 메뉴,특별한 메뉴,쾌적한 매장,야외 배경,주차,대화,집중,트렌디,독특,"선물, 포장",액티비티
35,1.2666666666666666,1.0,1.0,1.0,1.2666666666666666,1.2666666666666666,2.333333333333333,1.5333333333333332,2.333333333333333,1.0,1.0,1.0
37,1.8888888888888888,1.0,1.2222222222222223,1.0,1.2222222222222223,1.2222222222222223,1.8888888888888888,1.2222222222222223,2.333333333333333,1.0,1.0,1.0
38,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
39,2.7142857142857144,1.0,1.5714285714285714,1.0,1.5714285714285714,1.0,1.5714285714285714,1.0,1.5714285714285714,1.0,1.0,1.0
41,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.360655737704918,1.0,1.2131147540983607,1.0,2.3114754098360653,1.0163934426229508,1.3934426229508197,1.0655737704918034,2.639344262295082,1.0,1.0,1.0
43,2.046153846153846,1.0,1.6769230769230767,1.0,1.3076923076923077,1.3076923076923077,1.8615384615384616,1.1846153846153846,1.6153846153846154,1.0,1.0,1.0
44,2.212121212121212,1.0,1.6666666666666665,1.0,1.303030303030303,1.3636363636363638,1.4848484848484849,1.303030303030303,1.6666666666666665,1.0,1.0,1.0
46,1.5804988662131518,1.0,1.163265306122449,1.0,1.072562358276644,2.2517006802721085,1.9705215419501134,1.4625850340136055,1.4988662131519273,1.0,1.0,1.0
47,1.2580645161290323,1.0,1.3870967741935483,1.0,1.2580645161290323,1.129032258064516,2.4193548387096775,1.9032258064516128,1.6451612903225805,1.0,1.0,1.0
48,1.3773584905660377,1.0,1.2264150943396226,1.0,1.7547169811320753,2.0566037735849054,1.3773584905660377,1.0,2.2075471698113205,1.0,1.0,1.0
49,1.3636363636363638,1.0,1.0,1.0,2.2727272727272725,1.1818181818181819,1.9090909090909092,1.0,2.2727272727272725,1.0,1.0,1.0
52,3.7555555555555555,1.0,1.5333333333333332,1.0,1.0,1.088888888888889,1.1777777777777778,1.1777777777777778,1.2666666666666666,1.0,1.0,1.0
53,1.631578947368421,1.0,1.2105263157894737,1.0,1.2105263157894737,1.0,1.8421052631578947,1.2105263157894737,2.8947368421052633,1.0,1.0,1.0
